Line list produced by PGOPHER 11.0.138 10 Dec 2020 18:41  64 bit (fpc 3.3.1 x86_64-Darwin),11000138
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
I(DOH)-,Excited,17,A,2,Ground,18,A,5,3632.36571945258,3.62820222070467E-12,3729.54973438727,97.1840149346925,0.000415267753478486,0.534998179843376,0,"pP2,16(18)",Excited Free OH 17  1 17 - Ground v=0 18  2 16
I(DOH)-,Excited,16,A,2,Ground,17,A,5,3632.50470373319,5.35447144658241E-12,3726.65562912855,94.1509253953622,0.000396122821425605,0.541324788846862,0,"pP2,15(17)",Excited Free OH 16  1 16 - Ground v=0 17  2 15
I(DOH)-,Excited,15,A,2,Ground,16,A,5,3632.64537733672,7.69386051960652E-12,3723.93174907816,91.2863717414367,0.000376933825015586,0.548398002254904,0,"pP2,14(16)",Excited Free OH 15  1 15 - Ground v=0 16  2 14
I(DOH)-,Excited,14,A,2,Ground,15,A,5,3632.78774851035,1.07614003968979E-11,3721.37809718503,88.5903486746706,0.000357707314795788,0.55638233314113,0,"pP2,13(15)",Excited Free OH 14  1 14 - Ground v=0 15  2 13
I(DOH)-,Excited,13,A,2,Ground,14,A,5,3632.93182500892,1.46476471215371E-11,3718.99467621709,86.0628512081759,0.000338450763274806,0.565492583073896,0,"pP2,12(14)",Excited Free OH 13  1 13 - Ground v=0 14  2 12
I(DOH)-,Excited,17,A,3,Ground,18,A,4,3632.98544056494,3.67711514455441E-12,3730.16764302813,97.182202463187,0.000420756370647441,0.542346776856903,0,"pP2,17(18)",Excited Free OH 17  1 16 - Ground v=0 18  2 17
I(DOH)-,Excited,16,A,3,Ground,17,A,4,3633.05540647047,5.41843144496013E-12,3727.20488188177,94.1494754113036,0.000400770952745054,0.547925857568521,0,"pP2,16(17)",Excited Free OH 16  1 15 - Ground v=0 17  2 16
I(DOH)-,Excited,12,A,2,Ground,13,A,5,3633.07761409415,1.93954443434183E-11,3716.78148876066,83.7038746665086,0.000319172921694963,0.57601460261862,0,"pP2,11(13)",Excited Free OH 12  1 12 - Ground v=0 13  2 11
I(DOH)-,Excited,15,A,3,Ground,16,A,4,3633.13115730894,7.77470777188353E-12,3724.41638432156,91.2852270126212,0.000380831925238576,0.554291627569497,0,"pP2,15(16)",Excited Free OH 15  1 14 - Ground v=0 16  2 15
I(DOH)-,Excited,14,A,3,Ground,15,A,4,3633.21269502768,1.08600645266437E-11,3721.80215335476,88.5894583270803,0.000360940655608211,0.561608547916892,0,"pP2,14(15)",Excited Free OH 14  1 13 - Ground v=0 15  2 14
I(DOH)-,Excited,11,A,2,Ground,12,A,5,3633.22512253405,2.49746276422956E-11,3714.73853721979,81.51341468574,0.000299884355125556,0.58833723380307,0,"pP2,10(12)",Excited Free OH 11  1 11 - Ground v=0 12  2 10
I(DOH)-,Excited,13,A,3,Ground,14,A,4,3633.30002144506,1.47637242902005E-11,3719.36219179733,86.0621703522737,0.000341099444268029,0.570091370669677,0,"pP2,13(14)",Excited Free OH 13  1 12 - Ground v=0 14  2 13
I(DOH)-,Excited,10,A,2,Ground,11,A,5,3633.37435660225,3.12587902539606E-11,3712.86582381577,79.4914672135152,0.000280598269334103,0.603003133359898,0,"pP2,9(11)",Excited Free OH 10  1 10 - Ground v=0 11  2  9
I(DOH)-,Excited,12,A,3,Ground,13,A,4,3633.39313825117,1.9526858823156E-11,3717.09650227462,83.7033640234461,0.000321311880769141,0.580025899078976,0,"pP2,12(13)",Excited Free OH 12  1 11 - Ground v=0 13  2 12
I(DOH)-,Excited,11,A,3,Ground,12,A,4,3633.4920470084,2.51174770047512E-11,3715.0050872219,81.513040213494,0.000301583378295758,0.591800929522065,0,"pP2,11(12)",Excited Free OH 11  1 10 - Ground v=0 12  2 11
I(DOH)-,Excited,9,A,2,Ground,10,A,5,3633.52532207747,3.8009498656576E-11,3711.16335058657,77.6380285090991,0.000261331833659999,0.620792874675958,0,"pP2,8(10)",Excited Free OH  9  1  9 - Ground v=0 10  2  8
I(DOH)-,Excited,10,A,3,Ground,11,A,4,3633.59674915203,3.14074631920339E-11,3713.08794888499,79.4911997329647,0.000281921999913104,0.605959073852135,0,"pP2,10(11)",Excited Free OH 10  1  9 - Ground v=0 11  2 10
I(DOH)-,Excited,8,A,2,Ground,9,A,5,3633.67802424299,4.48738364221487E-11,3709.63111938641,75.9530951434139,0.000242108385649444,0.642870759977557,0,"pP2,7(9)",Excited Free OH  8  1  8 - Ground v=0  9  2  7
I(DOH)-,Excited,9,A,3,Ground,10,A,4,3633.70724599069,3.81571164865161E-11,3711.34508932075,77.6378433300567,0.000262339780793448,0.623280859831237,0,"pP2,9(10)",Excited Free OH  9  1  8 - Ground v=0 10  2  9
I(DOH)-,Excited,8,A,3,Ground,9,A,4,3633.82353870691,4.50130054021115E-11,3709.77651039752,75.9529716906189,0.000242854932180858,0.644930540666751,0,"pP2,8(9)",Excited Free OH  8  1  7 - Ground v=0  9  2  8
I(DOH)-,Excited,7,A,2,Ground,8,A,5,3633.83246788621,5.14005147858822E-11,3708.26913188528,74.4366639990664,0.000222961288971133,0.671052263524094,0,"pP2,6(8)",Excited Free OH  7  1  7 - Ground v=0  8  2  6
I(DOH)-,Excited,7,A,3,Ground,8,A,4,3633.94562835747,5.152429761886E-11,3708.38221379562,74.4365854381505,0.000223495698615994,0.672723533372279,0,"pP2,7(8)",Excited Free OH  7  1  6 - Ground v=0  8  2  7
I(DOH)-,Excited,6,A,2,Ground,7,A,5,3633.98865729823,5.70779878143804E-11,3707.0773895686,73.0887322703703,0.00020394109787081,0.708329840576341,0,"pP2,5(7)",Excited Free OH  6  1  6 - Ground v=0  7  2  5
I(DOH)-,Excited,6,A,3,Ground,7,A,4,3634.07351587387,5.7180928423838E-11,3707.16220100767,73.0886851338011,0.000204307521680819,0.709652218373522,0,"pP2,6(7)",Excited Free OH  6  1  5 - Ground v=0  7  2  6
I(DOH)-,Excited,5,A,2,Ground,6,A,5,3634.14659627352,6.13956717866049E-11,3706.05589373688,71.9092974633608,0.000185129885769365,0.760001780556811,0,"pP2,4(6)",Excited Free OH  5  1  5 - Ground v=0  6  2  4
I(DOH)-,Excited,5,A,3,Ground,6,A,4,3634.20720206259,6.14746609386962E-11,3706.11647333896,71.9092712763706,0.000185367367869697,0.761014773018849,0,"pP2,5(6)",Excited Free OH  5  1  4 - Ground v=0  6  2  5
I(DOH)-,Excited,4,A,2,Ground,5,A,5,3634.30628810957,6.39285345480037E-11,3705.20464550538,70.8983573958062,0.000166672767779442,0.836392538553525,0,"pP2,3(5)",Excited Free OH  4  1  4 - Ground v=0  5  2  3
I(DOH)-,Excited,4,A,3,Ground,5,A,4,3634.34668760545,6.39833052999029E-11,3705.24503190776,70.8983443023088,0.00016681525036367,0.837135457152303,0,"pP2,4(5)",Excited Free OH  4  1  3 - Ground v=0  5  2  4
